,2001,2002,2003,2004,2005,2006,2007,2008,2009
Village1,0.0714,0.1429,0.3333,0.4048,0.7619,0.8333,0.9286,1,1
Village2,0,0.1087,0.3478,0.4783,0.7391,0.8261,0.9348,0.9783,1
Village3,0.0417,0.0833,0.375,0.5417,0.9167,0.9583,1,1,1
Village4,0.0417,0.125,0.5,0.7083,0.9167,0.9583,1,1,1
Village5,0.0227,0.0682,0.2273,0.3182,0.6591,0.8636,0.9545,0.9773,1
Village6,0,0.0536,0.2143,0.3571,0.8036,0.9107,0.9821,1,1
Village7,0.0233,0.093,0.2093,0.2791,0.6977,0.8837,0.9535,0.9767,1
Village8,0.0588,0.1176,0.2941,0.4118,0.5294,0.8235,1,1,1
Village9,0.02,0.06,0.14,0.26,0.72,0.86,0.94,0.98,1
Village10,0,0.05,0.15,0.35,0.65,0.75,0.9,0.95,1
